id	Arabic_txt	Ar:man_sentiment	Ar:man_confidence
0	RT USERNAME: أموي #سوريا •  بســــــــــم الله الرحـْـْمــــــــــــــن الرحيــــــــيم     فرقة تحرير الشام ابطال اللواء... URL 	Positive	0.7002
1	RT USERNAME: انتخابات الرئاسة ببلاد العرب.. مصر #انتخبوا_العرص الجزائر #انتخبوا_المرحوم سوريا #انتخبوا_الكيماوي العراق #انتخبوا_بنوقريظة 	Negative	0.7074
2	USERNAME USERNAME USERNAME حرب اكتوبر سوريا ومصر دخلت ع فلسطين بدون تعب لكن خونه عرب سحبو جيوش ورجع جيش اسرائيلي لفلسطين 	Negative	0.9197
3	USERNAME هذا الكلام! الذي أوردتيه وهو حقيقة لا شك، لكنه يرجح أن المؤامرة في سوريا أن لا يسقط بشار! لا أن يسقط؟ 	Negative	0.7905
4	RT USERNAME: #هام #سوريا غاز “الكلور” السام الذي يستخدمه #الأسد مؤخراً، لا يدخل ضمن الأسلحة الكيميائية التي تم الاتفاق على تسليمها htt… 	Negative	0.8953
5	RT USERNAME: نبذة مختصرة عن عقيدة الأشاعرة ~ العلامة محمد أمان الجامى #مصر #قطر #سوريا #الاخوان #السيسي #الحدادية #الجزائر  URL 	Neutral	0.7245
6	#Syria #شام #سوريا | #ريف_دمشق : تجدد القصف من قبل قوات النظام على مدن وبلدات الغوطة ال...: #... URL #FF #news 	Negative	1
7	RT USERNAME: عمالقة سوريا ذهبوا بلا رجعه : #خالد_تاجا #حسن_دكاك #سليم_كلاس #توفيق_الزعيم #عبدالرحمن_ال_رشي URL 	Negative	0.9181
8	#الجيش_الحر يستهدف حاجز السلام في خان شيخون بإدلب.#العرب #سوريا 	Negative	0.8013
9	USERNAME USERNAME ماذا فعلت دولة الخزي والعار في العراق اين انتصاراتها وأين هي في بداية الثورة في سوريا 	Negative	1
10	RT USERNAME: بالفيديو.. كيف يعيش فنانو #سوريا حلمهم المكسور في #دبي؟    URL #syria #dubai #CNNArabic 	Neutral	0.6149
11	RT USERNAME: # سورية حمص_تنزف قدمت#حمص من أبنائها(17,812) شهيدا: (2,047) طفل و(1,861) امرأة فهل تريدون مزيداحتى تلبواالنداء؟ URL 	Negative	0.8966
12	USERNAME: المونتاج الثوري ثورتنا حُسينية .... راياتنا حُسينية #المغرب #الجزائر #مصر #ليبيا #سوريا #اليمن #فلسطين  URL 	Neutral	0.4034
13	أمة نيوز| بالفيديو.. الجبهة الإسلاميّة تدكّ معاقل الشبّيحة في مدينة حمص بالصواريخ: قصف مُقاتِلو لو... URL #سوريا 	Negative	0.7035
14	RT USERNAME: #Syria من غزة الصامدة الى حمص المحاصرة  انا منكم وانتم مني دم واحد والعدو واحد ، نحارب...: من... URL #F… 	Positive	0.4941
15	أناظر في ( سوريا ) ويتقطع عليها قلبي 	Negative	1
16	USERNAME USERNAME USERNAME راجع هذه URL ينشر حساب الشبيح على حسابه عاجل سوريا ومن اول المتابعين للشبيح 	Negative	0.5045
17	#سوريا #Syria  #أطفال_سوريا #حمص_المحاصرة #أنقذوا_حمص_قبل_أن_تستباح URL 	Negative	0.6663
18	#الزمان: المرصد السوري حرب شوارع في حمص والتقدم في باب هود ووادي السايح لا يخل بالموازين URL #سوريا #Syria 	Negative	0.7616
19	RT USERNAME: الصورة من المسجد الأقصى اليوم وحي على النكاح في سوريا   URL 	Negative	0.651
20	#Syria الجيش الحر يستهدف مراكز قوات النظام بسيف الدولية في حلب FSA Target Regime Forces in Saif... URL via FaceBook 	Negative	0.7018
21	RT USERNAME: #سوريا كلمة في سبيل الله يا سوريا  للشيخ حفيظ الدوسري URL عبر USERNAME 	Positive	0.6024
22	RT USERNAME: آلبعض في موته حيآة لغيرة ، كَـ/ هذآ آلكلب❗   #سوريا URL 	Negative	0.8979
23	USERNAME مجازر الشيعه ضد المسلمين  في سوريا 	Negative	0.9205
24	RT USERNAME: أموي #سوريا •  #الغرفة_المشتركة_لأهل_الشام   #غزوة_الإعتصام   #حلب #جبهة_الشيخ_نجار   دك معاقل ميليشيات الإسد في... URL 	Negative	1
25	USERNAME   اربعہ في الطائرة الماليزيہ و واحد يجاهد في سوريا - حظي و أعرفہ ᴗ̈ 	Negative	0.8058
26	إزا مو عاجبتك القااعدة تقاتل بسورياا ياليت تتكرم انت وامثالك الهربانيين والمتوالين عن الزحف وتنزلوا ع سوريا وتفرجونا مراجلكن بدل التنظير . 	Negative	0.814
27	USERNAME USERNAME  صدقني يا صديقي المشكله التي تحدث في سوريا ليست مشكله سني وشيعي هيه مشكله سلفي وهابي ارهابي ضد المسلم السني والشيعي 	Negative	0.7126
28	#تذكير#  صلاة الوتر بارك الله فيكم..ولاتنسوا أهل السنه في سوريا وفلسطين وبورما وأفريقيا الوسطى من دعواتكم إنهم إخوانكم..وحرماتهم هي حرماتكم. 	Positive	0.7741
29	RT USERNAME: موقف #روسيا المدافع عن #إيران ونظام قرداحة #سوريا هو أساس مأساة شعب #أوكرانيا - من يدعم عنصري يتعلم عنصرية - و - ومن يؤيد طا… 	Negative	0.9012
30	إستهداف مدينة #القرداحة بصواريخ الغراد 18-4-2014 URL #دمشق #اللاذقية #معركة_الأنفال 	Negative	0.9038
31	RT USERNAME: شافي العجمي يتبراء من تنظيم داعش بعد تمويلهم من قبله بجمع التبرعات لقتل أطفال سوريا وشيوخها حسبي الله عليك يا شافي 	Negative	1
32	RT USERNAME: URL #حلب | #الفردوس • جمعة أنقذوا حمص قبل أن تستباح 18-4-2014 #سوريا 	Negative	0.4965
33	10.50 P.M  #سورية #سوريا #اللاذقية #Syria #lattakia #latakia  نشاط فريق \" #قطرات_ملونة \" اليوم: تلوين درج حي... URL 	Neutral	0.4119
34	Last: #syria# Hama | #حماة #الريف_الجنوبي |  :... - المكتب الإعلامي - مجلس قيادة الثورة في حماة Hama RCC URL #news #syria 	Neutral	0.9037
35	الان #أفريقيا_الوسطى ك بورما سوريا مصرليبيا العراق لبنان تونس اليمن وقبلها فلسطين بلادالمسلمين تئن وتشكو لكم الله يامسلمين #العراق 	Negative	0.8085
36	RT USERNAME: لم تتعرض بلد في العالم على مر التاريخ لخيانة من جيرانها كما حدث لسوريا  لكن الامل في الشعوب وليس بالحكومات  هذه سوريا يا ....… 	Negative	0.9052
